source_permit_id,permit_file_date,address_raw,parcel_num_raw,parcel_num_normalized,match_warning
BU2026-01370,2026-05-04,"3145 LAVENDER LN KANNAPOLIS, NC 28083",158B023,158023,invalid or placeholder parcel number
BU2026-01325,2026-05-01,"566 HARPERSFIELD DR KANNAPOLIS, NC 28081",244F017,244017,invalid or placeholder parcel number
BU2026-01302,2026-04-30,"606 HOT SPRINGS DR KANNAPOLIS, NC 28081",154I232,154232,invalid or placeholder parcel number
BU2026-01307,2026-04-30,"613 HOT SPRINGS DR KANNAPOLIS, NC 28081",154I228,154228,invalid or placeholder parcel number
BU2026-01322,2026-04-30,"391 W 18TH ST KANNAPOLIS, NC 28081",154I030,154030,invalid or placeholder parcel number
BU2026-01286,2026-04-29,"3160 LAVENDER LN KANNAPOLIS, NC 28083",158B051,158051,invalid or placeholder parcel number
BU2026-01296,2026-04-29,"3130 LAVENDER LN KANNAPOLIS, NC 28083",158B054,158054,invalid or placeholder parcel number
BU2026-01269,2026-04-28,"407 KIMBALL ST KANNAPOLIS, NC 28081",152A028,152028,invalid or placeholder parcel number
BU2026-01271,2026-04-28,"409 KIMBALL ST KANNAPOLIS, NC 28081",152A023,152023,invalid or placeholder parcel number
BU2026-01272,2026-04-28,"3150 LAVENDER LN KANNAPOLIS, NC 28083",158B052,158052,invalid or placeholder parcel number
BU2026-01273,2026-04-28,"3190 LAVENDER LN KANNAPOLIS, NC 28083",158B048,158048,invalid or placeholder parcel number
BU2026-01275,2026-04-28,"3155 LAVENDER LN KANNAPOLIS, NC 28083",158B024,158024,invalid or placeholder parcel number
BU2026-01277,2026-04-28,"3180 LAVENDER LN KANNAPOLIS, NC 28083",158B049,158049,invalid or placeholder parcel number
BU2026-01243,2026-04-27,"307 W 13TH ST KANNAPOLIS, NC 28081",152A024,152024,invalid or placeholder parcel number
BU2026-01244,2026-04-27,"3170 LAVENDER LN KANNAPOLIS, NC 28083",158B050,158050,invalid or placeholder parcel number
BU2026-01251,2026-04-27,"607 HOT SPRINGS DR KANNAPOLIS, NC 28081",154I229,154229,invalid or placeholder parcel number
