official_parcel_id,pin14,total_permits,residential_growth_permits,commercial_activity_permits,redevelopment_signal_permits,demolition_permits,high_value_permits,major_value_permits,total_permit_amount,first_permit_date,latest_permit_date,active_year_count,dominant_permit_segment,dominant_growth_signal,permit_signal_score_max,permit_signal_score_avg,current_activity_status
CFS-PARCEL-0149813679,56208499270000,2,1,0,0,1,1,0,159000.0,2022-02-18,2022-07-08,1,residential_growth,major_growth,96.0,75.0,no_recent_activity
CFS-PARCEL-0149805637,56208572870000,2,1,0,0,1,1,0,153000.0,2022-03-28,2023-09-04,2,residential_growth,major_growth,96.0,80.0,recently_issued
CFS-PARCEL-0149734340,46724125280000,2,1,0,1,0,1,0,151430.0,2022-03-23,2023-10-11,2,residential_growth,major_growth,96.0,83.5,recently_issued
CFS-PARCEL-0149799096,56134813090000,2,1,0,0,1,1,0,133500.0,2015-06-10,2023-10-03,2,residential_growth,major_growth,96.0,75.0,recently_issued
CFS-PARCEL-0149800800,56137648850000,2,1,0,0,1,1,0,130000.0,2013-02-20,2023-04-10,2,residential_growth,major_growth,96.0,75.0,recently_issued
CFS-PARCEL-0149809592,56217340710000,2,1,0,0,1,1,0,130000.0,2022-04-25,2022-06-20,1,residential_growth,major_growth,96.0,80.0,no_recent_activity
CFS-PARCEL-0149803443,56203313750000,2,1,0,0,1,1,0,127000.0,2014-01-24,2023-03-13,2,residential_growth,major_growth,96.0,75.0,recently_issued
CFS-PARCEL-0149802940,56203973680000,2,1,0,0,1,1,0,120000.0,2010-06-09,2022-03-22,2,residential_growth,major_growth,96.0,75.0,no_recent_activity
CFS-PARCEL-0149801618,56139911540000,2,1,0,1,0,1,0,100000.0,2004-01-01,2023-10-20,2,residential_growth,major_growth,96.0,78.5,recently_issued
CFS-PARCEL-0149806835,56209779530000,26,12,6,5,1,9,2,1325041388.0,2006-11-01,2025-09-03,13,residential_growth,major_growth,94.0,73.58,completed_historical
CFS-PARCEL-0149763422,55283332310000,10,3,3,1,0,1,1,684097.0,2012-11-02,2024-05-24,6,residential_growth,moderate_activity,94.0,57.5,completed_historical
CFS-PARCEL-0149795737,56128104800000,7,2,0,1,0,1,1,729997.0,2013-10-29,2023-05-04,6,administrative_or_unknown,unknown,94.0,44.71,completed_historical
CFS-PARCEL-0149743179,46939095380000,6,4,0,1,0,3,1,1357336.0,2007-05-01,2025-11-24,4,residential_growth,major_growth,94.0,68.83,completed_historical
CFS-PARCEL-0149820746,56229481830000,4,1,0,1,0,1,0,238844.5,2003-06-01,2025-07-28,3,administrative_or_unknown,unknown,94.0,48.25,active_construction
CFS-PARCEL-0149806409,56208903860000,3,1,0,1,0,1,0,200000.0,2008-12-01,2025-09-04,2,residential_growth,major_growth,94.0,54.33,recently_issued
CFS-PARCEL-0149812971,56232092900000,3,1,0,0,2,1,0,136800.0,2024-05-14,2024-06-21,1,demolition,redevelopment_signal,94.0,81.33,active_construction
CFS-PARCEL-0149822047,56404456780000,2,1,0,1,0,2,0,223400.0,2021-03-26,2023-02-06,2,residential_growth,major_growth,94.0,86.5,recently_issued
CFS-PARCEL-0149817930,56301620340000,2,1,0,1,0,1,0,171992.0,2016-08-22,2022-04-05,2,residential_growth,major_growth,94.0,81.5,no_recent_activity
CFS-PARCEL-0149817811,56302403240000,2,1,0,1,0,1,0,150000.0,2022-04-28,2022-04-28,1,residential_growth,major_growth,94.0,77.5,no_recent_activity
CFS-PARCEL-0149734845,46747056260000,2,1,0,1,0,1,0,110000.0,2016-04-05,2022-06-07,2,residential_growth,major_growth,94.0,77.5,no_recent_activity
CFS-PARCEL-0149752474,55093259870000,36,13,11,7,1,1,0,624140.45,2007-04-01,2025-05-29,15,residential_growth,major_growth,92.0,62.19,recently_issued
CFS-PARCEL-0149781903,56004930300000,32,7,12,8,2,6,0,2363319.0,2005-12-01,2025-05-29,15,commercial_activity,major_growth,92.0,65.88,completed_historical
CFS-PARCEL-0149807988,56211500060000,28,7,10,5,0,3,0,738800.0,2008-04-01,2024-12-20,11,commercial_activity,major_growth,92.0,57.39,recently_issued
CFS-PARCEL-0149807989,56211500060000,28,7,10,5,0,3,0,738800.0,2008-04-01,2024-12-20,11,commercial_activity,major_growth,92.0,57.39,recently_issued
CFS-PARCEL-0149809420,56216125040000,26,15,1,6,0,1,0,451000.0,2008-02-01,2025-12-23,12,residential_growth,major_growth,92.0,62.92,completed_historical
CFS-PARCEL-0149726479,45895557940000,22,14,4,3,0,2,0,509976.0,2007-10-01,2025-08-18,13,residential_growth,major_growth,92.0,68.5,completed_historical
CFS-PARCEL-0149810942,56221269970000,22,8,9,2,1,3,0,498445.39,2008-01-01,2025-07-28,14,commercial_activity,major_growth,92.0,65.36,completed_historical
CFS-PARCEL-0149811780,56225706610000,19,6,7,4,2,2,0,746080.46,2007-01-01,2025-11-17,12,commercial_activity,major_growth,92.0,69.26,completed_historical
CFS-PARCEL-0149811781,56225706610000,19,6,7,4,2,2,0,746080.46,2007-01-01,2025-11-17,12,commercial_activity,major_growth,92.0,69.26,completed_historical
CFS-PARCEL-0149814320,56211661860000,18,11,2,1,1,1,0,262900.0,2006-12-01,2025-08-08,10,residential_growth,major_growth,92.0,61.06,active_construction
CFS-PARCEL-0149790843,56105098290000,15,2,6,1,0,1,0,336179.0,2008-12-01,2024-09-19,9,commercial_activity,unknown,92.0,47.13,active_construction
CFS-PARCEL-0149793846,56119900970000,14,12,1,0,1,3,0,1343000.0,2020-10-08,2025-09-12,4,residential_growth,major_growth,92.0,79.14,completed_historical
CFS-PARCEL-0149749296,55079310320000,14,1,2,0,9,1,0,156500.0,2017-08-14,2025-06-24,5,demolition,redevelopment_signal,92.0,55.71,completed_historical
CFS-PARCEL-0149764871,55294079690000,13,3,2,1,1,3,0,679130.0,2002-08-01,2024-06-04,8,administrative_or_unknown,major_growth,92.0,51.62,completed_historical
CFS-PARCEL-0149740820,46834621220000,12,6,0,2,0,2,0,505750.0,2014-11-03,2023-07-20,5,residential_growth,minor_activity,92.0,57.5,active_construction
CFS-PARCEL-0149790275,56108888920000,11,1,4,2,0,3,1,2175418.0,2010-07-14,2023-10-20,7,commercial_activity,moderate_activity,92.0,52.73,active_construction
CFS-PARCEL-0149808295,56211827970000,11,3,2,2,1,2,0,560883.0,2008-02-01,2025-05-29,7,residential_growth,major_growth,92.0,53.82,completed_historical
CFS-PARCEL-0149752220,55094057000000,10,6,2,1,0,3,1,1619800.0,2004-06-01,2024-09-13,6,residential_growth,major_growth,92.0,73.5,completed_historical
CFS-PARCEL-0149776915,55551062150000,10,4,1,3,1,2,0,431400.0,2006-06-01,2025-01-28,7,residential_growth,major_growth,92.0,67.7,completed_historical
CFS-PARCEL-0149811300,56223244710000,9,5,2,2,0,2,0,339000.0,2003-08-01,2025-02-17,5,residential_growth,major_growth,92.0,74.22,completed_historical
CFS-PARCEL-0149807132,56211799000000,8,1,3,0,1,4,1,2533921.0,2019-11-19,2021-05-06,3,commercial_activity,unknown,92.0,54.25,no_recent_activity
