official_parcel_id,objectid_1,pin14,parcel_quality_status,nbh_name,subdiv_name,zoning_jurisdiction_name,planning_jurisdiction_name,planning_boundary_type,dominant_zoning_code_raw,dominant_zoning_general_normalized,dominant_zoning_label_normalized,zoning_overlap_count,zoning_jurisdiction_overlap_count,dominant_overlap_pct,total_zoning_overlap_pct,second_zoning_jurisdiction_name,second_zoning_code_raw,second_overlap_pct,top_two_overlap_pct_gap,zoning_assignment_confidence,zoning_join_status,has_multiple_zoning,has_multiple_zoning_jurisdictions,tiny_sliver_overlap_count,parcel_area_acres_calc
CFS-PARCEL-0149816129,149816129,56247109570000,review,LANE STREET,,Kannapolis,,,R4,residential,R4,2,1,0.50076,1.0,Kannapolis,O-I,0.49924,0.001521,low,multi_zone_low_confidence,True,False,0,0.555675
CFS-PARCEL-0149811105,149811105,56221971820000,trusted,LAKE CONCORD RD,GREGORY S. SCHABARUM PROP.,Kannapolis,,,R8,residential,R8,2,1,0.500823,0.999998,Kannapolis,R8,0.499175,0.001648,low,multi_zone_low_confidence,True,False,0,0.705736
CFS-PARCEL-0149816878,149816878,56246199580000,review,LANE STREET,,Kannapolis,,,R4,residential,R4,3,1,0.501321,1.0,Kannapolis,O-I,0.498626,0.002695,low,multi_zone_low_confidence,True,False,1,0.555023
CFS-PARCEL-0149777956,149777956,55374360460000,review,ROYCROFT,FUTURE ROYCROFT SD,Concord,,,PRD,unknown,PRD,5,2,0.501469,1.0,Cabarrus County / Unincorporated,CR,0.498149,0.003321,low,multi_jurisdiction_low_confidence,True,True,3,259.978096
CFS-PARCEL-0149777957,149777957,55374360460000,review,ROYCROFT,FUTURE ROYCROFT SD,Concord,,,PRD,unknown,PRD,5,2,0.501469,1.0,Cabarrus County / Unincorporated,CR,0.498149,0.003321,low,multi_jurisdiction_low_confidence,True,True,3,259.978096
CFS-PARCEL-0149768785,149768785,55382358240000,trusted,ST. ANDREWS PLACE / BRAXTON PLACE,ST ANDREWS,Cabarrus County / Unincorporated,,,LDR,residential,LDR,2,1,0.50147,0.997554,Cabarrus County / Unincorporated,LDR,0.496084,0.005386,low,multi_zone_low_confidence,True,False,0,0.294257
CFS-PARCEL-0149819586,149819586,56316600240000,review,CENTERGROVE,,Concord,Concord,etj,RM-1,residential,RM-1,2,2,0.501627,0.919999,Cabarrus County / Unincorporated,LDR,0.418372,0.083255,low,multi_jurisdiction_low_confidence,True,True,0,0.695883
CFS-PARCEL-0149765053,149765053,55293552370000,review,STOUGH ROAD,,Concord,,,O-I,unknown,O-I,2,1,0.501644,1.0,Concord,RM-2,0.498356,0.003287,low,multi_zone_low_confidence,True,False,0,0.868211
CFS-PARCEL-0149747650,149747650,55072650120000,trusted,HARRISBURG,HARRISBURG HEIGHTS,Harrisburg,,,OI,office,OI,2,1,0.501965,1.0,Harrisburg,RL,0.498035,0.00393,low,multi_zone_low_confidence,True,False,0,1.789057
CFS-PARCEL-0149817076,149817076,56247199010000,review,LANE STREET,,Kannapolis,,,O-I,office,O-I,2,1,0.502029,1.0,Kannapolis,R4,0.497971,0.004058,low,multi_zone_low_confidence,True,False,0,0.395077
