subdivision,no_match_count,no_match_area_acres,subdivision_review_count,avg_area_acres
FENTON-DELL PH II-MAP 1,38,15.77,0,0.4149
FOREST BROOK,38,44.63,0,1.1744
HARMONY PH1A,38,17.26,0,0.4543
VILLAGE OF CHARLES TOWNE MAP 1,38,3.47,0,0.0914
WALLACE PLACE,38,11.11,0,0.2923
WINTERHAVEN,38,11.54,0,0.3036
BRIDGE POINTE PH 6 MAP 2,37,14.82,0,0.4006
DEERFIELD HILLS,37,7.7,0,0.2082
GARDENS AT COLDWATER\SYCAMORE RDG,37,37.49,0,1.0133
HACKBERRY PLACE PH 2,37,11.4,0,0.308
THE MILLS PH4B MP1,37,5.69,0,0.1537
WHISPERING WINDS,37,41.47,0,1.1207
ALLISON WOODS,36,42.79,0,1.1887
ARROWHEAD PLACE,36,14.61,0,0.4059
BROOKEDALE COMMONS PH 2 MAP 7,36,9.13,0,0.2537
GREEN ACRES,36,10.01,0,0.2781
KENSINGTON FOREST PH2 MAP1,36,13.65,0,0.3792
LUVINE HILLS,36,28.37,0,0.7882
TRANQUILLITY,36,56.93,0,1.5814
AZALEA ESTATES,35,10.24,0,0.2926
CANTERFIELD ESTATES PHASE 2-WEST RECORD MAP 3,35,5.6,0,0.16
LAUREL PARK PH 4 MAP 3,35,13.82,0,0.3947
MEADOWCREEK PH1-MAP3,35,5.95,0,0.1701
OLD CAMDEN ESTATES,35,20.07,0,0.5735
PENDLETON PH 1 MAP 1,35,10.21,0,0.2917
STALLINGS FARM PH-5,35,20.24,0,0.5782
STONEYCREEK,35,8.23,0,0.2352
SUMMERLYN VILLAGE,35,18.49,0,0.5283
THE MILLS PH2C MP1,35,8.86,0,0.2532
TUCKER CHASE MAP 2,35,8.47,0,0.2419
CHRISTENBURY VILLAGE A (CHRISTENBURY HALL) PH 1,34,19.26,0,0.5665
CHRISTENBURY VILLAGE C PH 3B MAP 2,34,2.64,0,0.0777
HOLCOMB WOODS PH2 MP1,34,8.52,0,0.2505
KANNAPOLIS NW SECT VI,34,8.06,0,0.237
KENSLEY,34,17.11,0,0.5033
MAGNOLIA SPRINGS PH-1MAP-5,34,8.61,0,0.2532
"Manchester Place PII Map 2,3",34,9.24,0,0.2719
THE POINTE AT RIVERWALK PH 2,34,9.64,0,0.2836
VILLAGE AT KELLSWATER BRIDGE,34,12.4,0,0.3646
WENTWORTH,34,12.62,0,0.3713
WILDWOOD RIDGE PH 1 MAP2,34,9.42,0,0.2771
WYNDHAM FOREST,34,28.69,0,0.8439
BLUME PH 3,33,15.47,0,0.4687
CHURCHILL FARMS PH 1,33,18.52,0,0.5613
COURTYARDS ON ROBINSON CHURCH,33,14.94,0,0.4528
FULLERTON PLACE,33,5.15,0,0.1561
HALLSTEAD PH2 MP2,33,4.52,0,0.1369
KENSINGTON FOREST PH- 1 M-2,33,13.99,0,0.424
ROBERTA WOODS,33,11.65,0,0.353
THE MILLS PH 3 MAP 1,33,6.08,0,0.1842
THE MILLS PH 3 MAP 3,33,6.12,0,0.1856
THE MILLS PH5 MP3,33,4.52,0,0.1369
THE MILLS PH6B MP2,33,9.82,0,0.2976
THE VILLAS AT WINECOFF PH 2,33,10.95,0,0.3317
ABBINGTON PH2-M3,32,14.9,0,0.4657
GRANTHAM PH1,32,14.15,0,0.4422
GRANTHAM PH3 MP2,32,14.62,0,0.4569
HOLCOMB WOODS PH2 MP2,32,18.27,0,0.5708
HOLCOMB WOODS PH2 MP5,32,10.25,0,0.3203
THE MILLS PH2B MP2,32,8.48,0,0.2649
THE MILLS PH4B MP2,32,5.62,0,0.1756
WELLINGTON CHASE S/D PH 3B MAP 2,32,8.15,0,0.2546
BLUME PH 6,31,10.17,0,0.328
BRIDGE POINTE PH 2,31,12.09,0,0.3899
COURTYARDS AT HARRISBURG,31,5.67,0,0.1829
ELLENWOOD PARK,31,3.6,0,0.1161
HUNTON FOREST PH 1 MAP 1,31,12.23,0,0.3944
LAUREL PARK SUBDIVISION PH 5 MAP 2 SH 1&2,31,11.49,0,0.3706
PICKWICK,31,7.95,0,0.2564
TOWNS AT CLIFFWOOD CONDOS,31,2.73,0,0.0882
VILLAGES AT SKYBROOK NORTH,31,7.72,0,0.2492
WELLINGTON CHASE PH 4 MAP 1,31,6.3,0,0.2033
ABBINGTON PH 4 MAP 1,30,11.59,0,0.3862
AMHURST PH 2,30,4.34,0,0.1447
BRIDGE POINTE PH 3,30,12.41,0,0.4137
BROOKVUE PH 1 MAP 1,30,7.26,0,0.2421
CANTERFIELD ESTATES EAST PHASE 2 REC. MAP 2,30,5.34,0,0.1781
CORDERA,30,25.67,0,0.8558
DOMINION POINT AT HIGHLAND CREEK,30,12.59,0,0.4195
GRANTHAM,30,15.71,0,0.5237
KASEN BLUFF,30,17.05,0,0.5682
OAKBROOK,30,6.37,0,0.2125
PARK VIEW ESTATES PH 1A MP 1,30,8.18,0,0.2728
PARKSIDE AT SKYBROOK NORTH PH 3 MAP 2,30,8.37,0,0.2791
POPLAR POINTE TOWNHOMES,30,0.64,0,0.0213
PROVIDENCE MANOR PH2-MP2,30,5.12,0,0.1708
PROVIDENCE MANOR PHASE 3 MAP 2,30,5.18,0,0.1727
ROBERTA MEADOWS,30,8.62,0,0.2873
SAVANNAH COMMONS,30,8.66,0,0.2886
TERRES BEND,30,36.56,0,1.2186
THE HAVEN AT ROCKY RIVER MP3,30,4.76,0,0.1587
BETHEL GLEN PII-M2,29,8.0,0,0.276
PARADISE ESTATES,29,58.94,0,2.0325
PARTRIDGE BLUFF,29,65.51,0,2.259
REV 1 OF HAMPDEN VILLAGE M 1,29,4.87,0,0.1678
SETTLER'S LANDING RESIDENTIAL TOWNHOMES PH 2 MAP 1,29,2.01,0,0.0695
THE MILLS PH 5B MAP 2,29,5.3,0,0.1828
THE MILLS PH4A MP1,29,4.42,0,0.1524
WEDDINGTON ROAD BUSNIESS PARK,29,4.19,0,0.1445
YATES MEADOW SUBDIVISION PHASE V,29,9.05,0,0.312
CHRISTENBURY CHASE MAP 2,28,4.24,0,0.1516
CHRISTENBURY VILLAGE B (CHRISTENBURY WOOD) PHASE 1,28,11.85,0,0.423
HOLCOMB WOODS PH1 MP8,28,8.97,0,0.3204
LAUREL PARK PHASE 4 MAP 1 SHEET 1,28,5.34,0,0.1909
NORTH CAROLINA RESEARCH CAMPUS,28,137.24,0,4.9015
REVISED NEWMAN MANOR,28,17.44,0,0.6228
SHILOH VILLAGE,28,4.34,0,0.1551
THE FARM AT RIVERPOINTE PH 3C MAP 7,28,5.69,0,0.203
THE HAVEN AT ROCKY RIVER MP1,28,5.02,0,0.1793
THE MILLS PH 1 MAP 1,28,12.42,0,0.4437
THE MILLS PH6D,28,8.41,0,0.3003
TUCKER CHASE MAP 6,28,6.75,0,0.2412
WELLINGTON CHASE S/D PH 3B MAP 1,28,7.34,0,0.2621
ALEXANDER HILL,27,9.52,0,0.3527
ASHETON GROVE @ MOSS CREEK,27,4.96,0,0.1837
BETHEL GLEN PH III MAP 1,27,11.34,0,0.42
BROOKEDALE COMMONS PH 2 M 2,27,7.93,0,0.2936
CHRISTENBURY VILLAGE C PH 3B MAP 1,27,2.69,0,0.0995
HABITAT FOR HUMANITY,27,7.21,0,0.2671
HOLCOMB WOODS PH1 MP3,27,12.19,0,0.4516
KANNAPOLIS SUBD S E  SECT 1,27,6.96,0,0.2577
LINCOLN STREET TOWNHOMES,27,2.03,0,0.0751
MAYFIELD LAKELAND CONDOS,27,0.29,0,0.0106
RIVEREWALK,27,4.55,0,0.1686
THE MILLS PH 6C,27,7.72,0,0.286
THE MILLS PH5 MP2,27,3.83,0,0.1418
CORNERSTONE CONDOMINIUMS PH 1,26,0.36,0,0.014
DOMINION GROVE AT HIGHLAND CREEK PHASE 4 MAP 6,26,7.42,0,0.2855
FULLERTON PLACE PH 1 MAP 2,26,5.33,0,0.2049
GRANTHAM PH2,26,24.42,0,0.9392
HEARTHWOOD PH 3 MAP 1,26,23.97,0,0.9221
HEATHERSTONE PH-3 M-1,26,8.86,0,0.3406
HSREI LLC AT AMC,26,182.39,0,7.0149
LAUREL PARK PH 6A MAP 1,26,12.45,0,0.4787
LITCHFIELD VILLAGE S/D,26,6.12,0,0.2355
MAGNOLIA SPRINGS PH1 MAP7,26,11.7,0,0.4501
SHADY RIDGE VILL,26,11.72,0,0.4509
THE ESTATES @ MOSS CREEK,26,8.65,0,0.3326
THE VILLAGE AT KELLSWATER BRIDGE OF PH 1B MP 1,26,5.27,0,0.2026
THE VILLAGE AT KELLSWATER BRIDGE RECOMB.,26,3.68,0,0.1417
THE VILLAGES AT SKYBROOK NORTH PH 2-2 MAP 1,26,4.67,0,0.1798
W J CLINE,26,10.88,0,0.4185
